"Date","Time","Users"
"6/15/23","11:00 PM","1694"
"6/16/23","12:00 AM","1582"
"6/16/23","01:00 AM","1507"
"6/16/23","02:00 AM","1422"
"6/16/23","03:00 AM","1304"
"6/16/23","04:00 AM","1268"
"6/16/23","05:00 AM","1276"
"6/16/23","06:00 AM","1449"
"6/16/23","07:00 AM","2287"
"6/16/23","08:00 AM","4150"
"6/16/23","09:00 AM","5240"
"6/16/23","10:00 AM","5514"
"6/16/23","11:00 AM","5317"
"6/16/23","12:00 PM","5305"
"6/16/23","01:00 PM","5257"
"6/16/23","02:00 PM","5180"
"6/16/23","03:00 PM","4905"
"6/16/23","04:00 PM","4355"
"6/16/23","05:00 PM","3589"
"6/16/23","06:00 PM","3091"
"6/16/23","07:00 PM","2686"
"6/16/23","08:00 PM","2567"
"6/16/23","09:00 PM","2327"
"6/16/23","10:00 PM","2064"
"6/16/23","11:00 PM","1635"
"6/17/23","12:00 AM","1477"
"6/17/23","01:00 AM","1415"
"6/17/23","02:00 AM","1320"
"6/17/23","03:00 AM","1234"
"6/17/23","04:00 AM","1188"
"6/17/23","05:00 AM","1182"
"6/17/23","06:00 AM","1207"
"6/17/23","07:00 AM","1551"
"6/17/23","08:00 AM","2246"
"6/17/23","09:00 AM","2462"
"6/17/23","10:00 AM","2407"
"6/17/23","11:00 AM","2098"
"6/17/23","12:00 PM","2071"
"6/17/23","01:00 PM","2047"
"6/17/23","02:00 PM","2017"
"6/17/23","03:00 PM","1977"
"6/17/23","04:00 PM","1949"
"6/17/23","05:00 PM","1847"
"6/17/23","06:00 PM","1736"
"6/17/23","07:00 PM","1779"
"6/17/23","08:00 PM","1957"
"6/17/23","09:00 PM","1943"
"6/17/23","10:00 PM","1779"
"6/17/23","11:00 PM","1387"
"6/18/23","12:00 AM","1325"
"6/18/23","01:00 AM","1305"
"6/18/23","02:00 AM","1234"
"6/18/23","03:00 AM","1160"
"6/18/23","04:00 AM","1117"
"6/18/23","05:00 AM","1104"
"6/18/23","06:00 AM","1129"
"6/18/23","07:00 AM","1429"
"6/18/23","08:00 AM","1990"
"6/18/23","09:00 AM","2175"
"6/18/23","10:00 AM","2155"
"6/18/23","11:00 AM","1860"
"6/18/23","12:00 PM","1840"
"6/18/23","01:00 PM","1827"
"6/18/23","02:00 PM","1812"
"6/18/23","03:00 PM","1766"
"6/18/23","04:00 PM","1750"
"6/18/23","05:00 PM","1685"
"6/18/23","06:00 PM","1632"
"6/18/23","07:00 PM","1733"
"6/18/23","08:00 PM","1975"
"6/18/23","09:00 PM","1958"
"6/18/23","10:00 PM","1766"
"6/18/23","11:00 PM","1423"
"6/19/23","12:00 AM","1333"
"6/19/23","01:00 AM","1284"
"6/19/23","02:00 AM","1219"
"6/19/23","03:00 AM","1137"
"6/19/23","04:00 AM","1109"
"6/19/23","05:00 AM","1141"
"6/19/23","06:00 AM","1344"
"6/19/23","07:00 AM","2249"
"6/19/23","08:00 AM","4258"
"6/19/23","09:00 AM","5426"
"6/19/23","10:00 AM","5763"
"6/19/23","11:00 AM","5666"
"6/19/23","12:00 PM","5620"
"6/19/23","01:00 PM","5647"
"6/19/23","02:00 PM","5599"
"6/19/23","03:00 PM","5386"
"6/19/23","04:00 PM","4855"
"6/19/23","05:00 PM","4006"
"6/19/23","06:00 PM","3362"
"6/19/23","07:00 PM","2904"
"6/19/23","08:00 PM","2732"
"6/19/23","09:00 PM","2452"
"6/19/23","10:00 PM","2135"
"6/19/23","11:00 PM","1673"
"6/20/23","12:00 AM","1519"
"6/20/23","01:00 AM","1433"
"6/20/23","02:00 AM","1339"
"6/20/23","03:00 AM","1257"
"6/20/23","04:00 AM","1228"
"6/20/23","05:00 AM","1228"
"6/20/23","06:00 AM","1447"
"6/20/23","07:00 AM","2383"
"6/20/23","08:00 AM","4405"
"6/20/23","09:00 AM","5694"
"6/20/23","10:00 AM","6058"
"6/20/23","11:00 AM","5943"
"6/20/23","12:00 PM","5965"
"6/20/23","01:00 PM","5937"
"6/20/23","02:00 PM","5849"
"6/20/23","03:00 PM","5657"
"6/20/23","04:00 PM","5003"
"6/20/23","05:00 PM","4177"
"6/20/23","06:00 PM","3439"
"6/20/23","07:00 PM","2978"
"6/20/23","08:00 PM","2719"
"6/20/23","09:00 PM","2501"
"6/20/23","10:00 PM","2178"
"6/20/23","11:00 PM","1677"
"6/21/23","12:00 AM","1552"
"6/21/23","01:00 AM","1404"
"6/21/23","02:00 AM","1227"
"6/21/23","03:00 AM","1208"
"6/21/23","04:00 AM","1150"
"6/21/23","05:00 AM","1142"
"6/21/23","06:00 AM","1406"
"6/21/23","07:00 AM","2292"
"6/21/23","08:00 AM","4320"
"6/21/23","09:00 AM","5557"
"6/21/23","10:00 AM","5915"
"6/21/23","11:00 AM","5803"
"6/21/23","12:00 PM","5845"
"6/21/23","01:00 PM","5808"
"6/21/23","02:00 PM","5004"
"6/21/23","03:00 PM","4808"
"6/21/23","04:00 PM","4687"
"6/21/23","05:00 PM","3952"
"6/21/23","06:00 PM","3385"
"6/21/23","07:00 PM","2931"
"6/21/23","08:00 PM","2766"
"6/21/23","09:00 PM","2450"
"6/21/23","10:00 PM","2132"
"6/21/23","11:00 PM","1686"
"6/22/23","12:00 AM","1561"
"6/22/23","01:00 AM","1490"
"6/22/23","02:00 AM","1398"
"6/22/23","03:00 AM","1300"
"6/22/23","04:00 AM","1246"
"6/22/23","05:00 AM","1251"
"6/22/23","06:00 AM","1451"
"6/22/23","07:00 AM","2364"
"6/22/23","08:00 AM","4320"
"6/22/23","09:00 AM","5552"
"6/22/23","10:00 AM","5882"
"6/22/23","11:00 AM","5752"
"6/22/23","12:00 PM","5772"
"6/22/23","01:00 PM","5702"
"6/22/23","02:00 PM","5687"
"6/22/23","03:00 PM","5460"
"6/22/23","04:00 PM","4898"
"6/22/23","05:00 PM","4024"
"6/22/23","06:00 PM","3354"
"6/22/23","07:00 PM","2941"
"6/22/23","08:00 PM","2768"
"6/22/23","09:00 PM","2476"
"6/22/23","10:00 PM","2181"
"6/22/23","11:00 PM","1719"
"6/23/23","12:00 AM","1580"
"6/23/23","01:00 AM","1470"
"6/23/23","02:00 AM","1375"
"6/23/23","03:00 AM","1271"
"6/23/23","04:00 AM","1237"
"6/23/23","05:00 AM","1249"
"6/23/23","06:00 AM","1453"
"6/23/23","07:00 AM","2283"
"6/23/23","08:00 AM","4132"
"6/23/23","09:00 AM","5255"
"6/23/23","10:00 AM","5540"
"6/23/23","11:00 AM","5380"
"6/23/23","12:00 PM","5344"
"6/23/23","01:00 PM","5229"
"6/23/23","02:00 PM","5125"
"6/23/23","03:00 PM","4879"
"6/23/23","04:00 PM","4270"
"6/23/23","05:00 PM","3566"
"6/23/23","06:00 PM","3002"
"6/23/23","07:00 PM","2649"
"6/23/23","08:00 PM","2538"
"6/23/23","09:00 PM","2298"
"6/23/23","10:00 PM","2018"
"6/23/23","11:00 PM","1559"
"6/24/23","12:00 AM","1437"
"6/24/23","01:00 AM","1368"
"6/24/23","02:00 AM","1272"
"6/24/23","03:00 AM","1193"
"6/24/23","04:00 AM","1150"
"6/24/23","05:00 AM","1146"
"6/24/23","06:00 AM","1181"
"6/24/23","07:00 AM","1552"
"6/24/23","08:00 AM","2216"
"6/24/23","09:00 AM","2440"
"6/24/23","10:00 AM","2415"
"6/24/23","11:00 AM","2154"
"6/24/23","12:00 PM","2150"
"6/24/23","01:00 PM","2116"
"6/24/23","02:00 PM","2068"
"6/24/23","03:00 PM","1998"
"6/24/23","04:00 PM","1959"
"6/24/23","05:00 PM","1880"
"6/24/23","06:00 PM","1759"
"6/24/23","07:00 PM","1805"
"6/24/23","08:00 PM","1983"
"6/24/23","09:00 PM","1960"
"6/24/23","10:00 PM","1779"
"6/24/23","11:00 PM","1387"
"6/25/23","12:00 AM","1307"
"6/25/23","01:00 AM","1265"
"6/25/23","02:00 AM","1211"
"6/25/23","03:00 AM","1125"
"6/25/23","04:00 AM","1099"
"6/25/23","05:00 AM","1107"
"6/25/23","06:00 AM","1125"
"6/25/23","07:00 AM","1476"
"6/25/23","08:00 AM","2078"
"6/25/23","09:00 AM","2285"
"6/25/23","10:00 AM","2242"
"6/25/23","11:00 AM","2000"
"6/25/23","12:00 PM","1982"
"6/25/23","01:00 PM","1946"
"6/25/23","02:00 PM","1926"
"6/25/23","03:00 PM","1890"
"6/25/23","04:00 PM","1875"
